PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,CONTINENT_NAME,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,Month
60164,10/22/2020,Asia,PSE,Palestine,October
5978,10/22/2020,Asia,LKA,Sri Lanka,October
130210,10/22/2020,Asia,QAT,Qatar,October
393131,10/22/2020,Asia,BGD,Bangladesh,October
40510,10/22/2020,Asia,AFG,Afghanistan,October
22957,10/22/2020,Asia,MYS,Malaysia,October
544,10/22/2020,Asia,TWN,Taiwan,October
353426,10/22/2020,Asia,TUR,Turkey,October
11316,10/22/2020,Asia,MDV,Maldives,October
24,10/22/2020,Asia,LAO,Laos,October
286,10/22/2020,Asia,KHM,Cambodia,October
1145,10/22/2020,Asia,VNM,Vietnam,October
545286,10/22/2020,Asia,IRN,Iran,October
94524,10/22/2020,Asia,JPN,Japan,October
54006,10/22/2020,Asia,KGZ,Kyrgyzstan,October
5224,10/22/2020,Asia,SYR,Syria,October
119132,10/22/2020,Asia,ARE,United Arab Emirates,October
39696,10/22/2020,Asia,MMR,Myanmar,October
146288,10/22/2020,Asia,KAZ,Kazakhstan,October
325480,10/22/2020,Asia,PAK,Pakistan,October
10613,10/22/2020,Asia,TJK,Tajikistan,October
332,10/22/2020,Asia,BTN,Bhutan,October
362243,10/22/2020,Asia,PHL,Philippines,October
25543,10/22/2020,Asia,KOR,South Korea,October
327,10/21/2020,Asia,MNG,Mongolia,October
91022,10/21/2020,Asia,CHN,China,October
5811,10/21/2020,Asia,LKA,Sri Lanka,October
64336,10/21/2020,Asia,LBN,Lebanon,October
3709,10/21/2020,Asia,THA,Thailand,October
93933,10/21/2020,Asia,JPN,Japan,October
543,10/21/2020,Asia,TWN,Taiwan,October
331,10/21/2020,Asia,BTN,Bhutan,October
360775,10/21/2020,Asia,PHL,Philippines,October
306503,10/21/2020,Asia,ISR,Israel,October
64010,10/21/2020,Asia,UZB,Uzbekistan,October
10574,10/21/2020,Asia,TJK,Tajikistan,October
25424,10/21/2020,Asia,KOR,South Korea,October
342968,10/21/2020,Asia,SAU,Saudi Arabia,October
434598,10/21/2020,Asia,IRQ,Iraq,October
7651107,10/21/2020,Asia,IND,India,October
59595,10/21/2020,Asia,PSE,Palestine,October
57921,10/21/2020,Asia,SGP,Singapore,October
324744,10/21/2020,Asia,PAK,Pakistan,October
1141,10/21/2020,Asia,VNM,Vietnam,October
351413,10/21/2020,Asia,TUR,Turkey,October
368842,10/21/2020,Asia,IDN,Indonesia,October
38502,10/21/2020,Asia,MMR,Myanmar,October
117594,10/21/2020,Asia,ARE,United Arab Emirates,October
53459,10/21/2020,Asia,KGZ,Kyrgyzstan,October
40972,10/21/2020,Asia,JOR,Jordan,October
129944,10/21/2020,Asia,QAT,Qatar,October
11271,10/21/2020,Asia,MDV,Maldives,October
23,10/21/2020,Asia,LAO,Laos,October
147,10/21/2020,Asia,BRN,Brunei Darussalam,October
117718,10/21/2020,Asia,KWT,Kuwait,October
111033,10/21/2020,Asia,OMN,Oman,October
139129,10/21/2020,Asia,NPL,Nepal,October
286,10/21/2020,Asia,KHM,Cambodia,October
40375,10/21/2020,Asia,AFG,Afghanistan,October
391589,10/21/2020,Asia,BGD,Bangladesh,October
29,10/21/2020,Asia,TLS,Timor Leste,October
539670,10/21/2020,Asia,IRN,Iran,October
5180,10/21/2020,Asia,SYR,Syria,October
145966,10/21/2020,Asia,KAZ,Kazakhstan,October
78533,10/21/2020,Asia,BHR,Bahrain,October
2060,10/21/2020,Asia,YEM,Yemen,October
22225,10/21/2020,Asia,MYS,Malaysia,October
390206,10/20/2020,Asia,BGD,Bangladesh,October
5625,10/20/2020,Asia,LKA,Sri Lanka,October
540,10/20/2020,Asia,TWN,Taiwan,October
21363,10/20/2020,Asia,MYS,Malaysia,October
1140,10/20/2020,Asia,VNM,Vietnam,October
59082,10/20/2020,Asia,PSE,Palestine,October
116832,10/20/2020,Asia,KWT,Kuwait,October
323452,10/20/2020,Asia,PAK,Pakistan,October
